日期,时间,纬度,经度,地面速率,地面航向,GPS状态,使用卫星数量,海拔高度
17年05月10日,09时32分38秒,北纬40.47533度,东经111.4185度,12.200000节,253.600000度,单点定位,05,1108,
17年05月10日,09时32分39秒,北纬40.47532度,东经111.4185度,11.300000节,254.300000度,单点定位,05,1106,
17年05月10日,09时32分39秒,北纬40.47532度,东经111.4185度,11.300000节,254.300000度,单点定位,05,1106,
17年05月10日,09时32分41秒,北纬40.47557度,东经111.4183度,12.300000节,252.000000度,单点定位,06,1181,
17年05月10日,09时32分42秒,北纬40.47563度,东经111.4183度,12.200000节,255.400000度,单点定位,06,1199,
17年05月10日,09时32分43秒,北纬40.47561度,东经111.4182度,14.200000节,257.000000度,单点定位,06,1195,
17年05月10日,09时32分44秒,北纬40.47560度,东经111.4182度,14.500000节,258.900000度,单点定位,06,1194,
17年05月10日,09时32分45秒,北纬40.47559度,东经111.4181度,14.700000节,260.200000度,单点定位,06,1192,
17年05月10日,09时32分46秒,北纬40.47560度,东经111.4181度,14.600000节,259.400000度,单点定位,06,1194,
17年05月10日,09时32分47秒,北纬40.47558度,东经111.4180度,13.900000节,252.700000度,单点定位,06,1195,
17年05月10日,09时32分48秒,北纬40.47558度,东经111.4180度,14.700000节,257.700000度,单点定位,06,1196,
17年05月10日,09时32分49秒,北纬40.47555度,东经111.4179度,14.900000节,259.900000度,单点定位,07,1184,
17年05月10日,09时32分50秒,北纬40.47551度,东经111.4179度,14.500000节,258.700000度,单点定位,07,1174,
17年05月10日,09时32分51秒,北纬40.47549度,东经111.4178度,12.900000节,254.000000度,单点定位,07,1167,
17年05月10日,09时32分52秒,北纬40.47547度,东经111.4178度,11.100000节,254.800000度,单点定位,08,1162,
17年05月10日,09时32分53秒,北纬40.47548度,东经111.4177度,10.700000节,259.700000度,单点定位,08,1159,
17年05月10日,09时32分54秒,北纬40.47547度,东经111.4177度,9.600000节,273.700000度,单点定位,08,1151,
17年05月10日,09时32分55秒,北纬40.47547度,东经111.4177度,9.300000节,298.600000度,单点定位,08,1147,
17年05月10日,09时32分56秒,北纬40.47549度,东经111.4176度,11.000000节,327.200000度,单点定位,08,1147,
17年05月10日,09时32分57秒,北纬40.47552度,东经111.4176度,13.100000节,338.500000度,单点定位,08,1147,
17年05月10日,09时32分58秒,北纬40.47556度,东经111.4176度,16.300000节,341.100000度,单点定位,08,1146,
17年05月10日,09时32分59秒,北纬40.47560度,东经111.4176度,18.500000节,340.400000度,单点定位,08,1145,
17年05月10日,09时33分00秒,北纬40.47565度,东经111.4176度,20.100000节,339.900000度,单点定位,08,1144,
17年05月10日,09时33分01秒,北纬40.47571度,东经111.4175度,22.200000节,339.600000度,单点定位,08,1144,
17年05月10日,09时33分02秒,北纬40.47577度,东经111.4175度,22.700000节,339.200000度,单点定位,08,1143,
17年05月10日,09时33分03秒,北纬40.47583度,东经111.4175度,23.300000节,338.700000度,单点定位,08,1142,
17年05月10日,09时33分04秒,北纬40.47589度,东经111.4175度,22.500000节,339.400000度,单点定位,08,1142,
17年05月10日,09时33分05秒,北纬40.47595度,东经111.4174度,22.200000节,339.100000度,单点定位,08,1142,
17年05月10日,09时33分06秒,北纬40.47601度,东经111.4174度,21.900000节,339.900000度,单点定位,08,1142,
17年05月10日,09时33分07秒,北纬40.47607度,东经111.4174度,21.400000节,340.300000度,单点定位,08,1142,
17年05月10日,09时33分08秒,北纬40.47613度,东经111.4174度,20.600000节,341.200000度,单点定位,08,1141,
17年05月10日,09时33分09秒,北纬40.47618度,东经111.4173度,18.800000节,342.000000度,单点定位,08,1142,
17年05月10日,09时33分10秒,北纬40.47623度,东经111.4173度,16.500000节,342.100000度,单点定位,08,1141,
17年05月10日,09时33分11秒,北纬40.47627度,东经111.4173度,14.800000节,342.600000度,单点定位,09,1140,
17年05月10日,09时33分12秒,北纬40.47631度,东经111.4173度,13.200000节,342.900000度,单点定位,09,1140,
17年05月10日,09时33分13秒,北纬40.47634度,东经111.4173度,11.600000节,343.200000度,单点定位,09,1139,
17年05月10日,09时33分14秒,北纬40.47637度,东经111.4173度,9.700000节,343.400000度,单点定位,09,1139,
17年05月10日,09时33分15秒,北纬40.47639度,东经111.4173度,8.000000节,343.500000度,单点定位,10,1139,
17年05月10日,09时33分16秒,北纬40.47641度,东经111.4173度,7.100000节,343.400000度,单点定位,08,1140,
17年05月10日,09时33分17秒,北纬40.47643度,东经111.4173度,7.000000节,343.300000度,单点定位,08,1139,
17年05月10日,09时33分18秒,北纬40.47645度,东经111.4172度,6.700000节,343.000000度,单点定位,08,1139,
17年05月10日,09时33分19秒,北纬40.47646度,东经111.4172度,5.600000节,343.000000度,单点定位,08,1138,
17年05月10日,09时33分20秒,北纬40.47647度,东经111.4172度,3.900000节,338.000000度,单点定位,08,1137,
17年05月10日,09时33分21秒,北纬40.47648度,东经111.4172度,2.400000节,338.000000度,单点定位,08,1137,
17年05月10日,09时33分22秒,北纬40.47648度,东经111.4172度,1.400000节,338.000000度,单点定位,08,1136,
17年05月10日,09时33分23秒,北纬40.47648度,东经111.4172度,0.900000节,338.000000度,单点定位,09,1135,
17年05月10日,09时33分24秒,北纬40.47648度,东经111.4172度,0.900000节,338.000000度,单点定位,09,1135,
17年05月10日,09时33分25秒,北纬40.47617度,东经111.4172度,1.100000节,338.000000度,单点定位,10,1132,
17年05月10日,09时33分26秒,北纬40.47617度,东经111.4172度,1.100000节,338.000000度,单点定位,09,1128,
17年05月10日,09时33分27秒,北纬40.47617度,东经111.4172度,1.000000节,338.000000度,单点定位,09,1122,
17年05月10日,09时33分28秒,北纬40.47618度,东经111.4172度,1.300000节,338.000000度,单点定位,09,1119,
17年05月10日,09时33分29秒,北纬40.47618度,东经111.4172度,1.500000节,338.000000度,单点定位,09,1115,
17年05月10日,09时33分30秒,北纬40.47618度,东经111.4172度,0.000000节,338.000000度,单点定位,09,1113,
17年05月10日,09时33分31秒,北纬40.47617度,东经111.4172度,0.000000节,338.000000度,单点定位,10,1101,
17年05月10日,09时33分32秒,北纬40.47616度,东经111.4172度,0.000000节,338.000000度,单点定位,10,1092,
17年05月10日,09时33分33秒,北纬40.47617度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1071,
17年05月10日,09时33分34秒,北纬40.47617度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1063,
17年05月10日,09时33分35秒,北纬40.47617度,东经111.4173度,0.100000节,338.000000度,单点定位,10,1062,
17年05月10日,09时33分36秒,北纬40.47618度,东经111.4173度,0.200000节,338.000000度,单点定位,10,1061,
17年05月10日,09时33分37秒,北纬40.47618度,东经111.4173度,0.300000节,338.000000度,单点定位,10,1060,
17年05月10日,09时33分38秒,北纬40.47619度,东经111.4173度,0.300000节,338.000000度,单点定位,10,1060,
17年05月10日,09时33分39秒,北纬40.47620度,东经111.4173度,0.100000节,338.000000度,单点定位,10,1059,
17年05月10日,09时33分40秒,北纬40.47620度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分41秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分42秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分43秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分44秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分45秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分46秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分47秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分48秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分49秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分50秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分51秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分52秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分53秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分54秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分55秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分56秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时33分57秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时33分58秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时33分59秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分00秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分01秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分02秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分03秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分04秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分05秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分06秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分07秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分08秒,北纬40.47621度,东经111.4173度,0.000000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分09秒,北纬40.47622度,东经111.4173度,0.600000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分10秒,北纬40.47622度,东经111.4173度,0.800000节,338.000000度,单点定位,09,1058,
17年05月10日,09时34分11秒,北纬40.47623度,东经111.4173度,1.000000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分12秒,北纬40.47623度,东经111.4173度,1.300000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分13秒,北纬40.47623度,东经111.4173度,1.700000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分14秒,北纬40.47624度,东经111.4173度,2.300000节,338.000000度,单点定位,10,1058,
17年05月10日,09时34分15秒,北纬40.47624度,东经111.4173度,3.100000节,339.100000度,单点定位,10,1058,
17年05月10日,09时34分16秒,北纬40.47626度,东经111.4173度,1.500000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分17秒,北纬40.47626度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分18秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分19秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分20秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分21秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分22秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分23秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,08,1058,
17年05月10日,09时34分24秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分25秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分26秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分27秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分28秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分29秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分30秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分31秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分32秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分33秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分34秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分35秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分36秒,北纬40.47627度,东经111.4173度,0.000000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分37秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分38秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分39秒,北纬40.47627度,东经111.4173度,0.400000节,340.700000度,单点定位,10,1058,
17年05月10日,09时34分40秒,北纬40.47627度,东经111.4173度,0.600000节,337.500000度,单点定位,10,1058,
17年05月10日,09时34分41秒,北纬40.47627度,东经111.4173度,0.600000节,349.700000度,单点定位,10,1057,
17年05月10日,09时34分42秒,北纬40.47627度,东经111.4173度,0.900000节,348.500000度,单点定位,10,1057,
17年05月10日,09时34分43秒,北纬40.47627度,东经111.4173度,0.900000节,347.200000度,单点定位,10,1057,
17年05月10日,09时34分44秒,北纬40.47628度,东经111.4173度,1.100000节,348.900000度,单点定位,10,1058,
17年05月10日,09时34分45秒,北纬40.47628度,东经111.4173度,1.500000节,340.000000度,单点定位,10,1057,
17年05月10日,09时34分46秒,北纬40.47628度,东经111.4173度,1.900000节,341.000000度,单点定位,10,1057,
17年05月10日,09时34分47秒,北纬40.47629度,东经111.4173度,2.500000节,341.400000度,单点定位,09,1057,
17年05月10日,09时34分48秒,北纬40.47630度,东经111.4173度,4.100000节,339.100000度,单点定位,09,1057,
17年05月10日,09时34分49秒,北纬40.47631度,东经111.4172度,5.100000节,337.800000度,单点定位,09,1057,
17年05月10日,09时34分50秒,北纬40.47633度,东经111.4172度,7.000000节,337.000000度,单点定位,09,1057,
17年05月10日,09时34分51秒,北纬40.47635度,东经111.4172度,7.400000节,336.400000度,单点定位,09,1058,
17年05月10日,09时34分52秒,北纬40.47637度,东经111.4172度,8.800000节,335.900000度,单点定位,09,1058,
17年05月10日,09时34分53秒,北纬40.47640度,东经111.4172度,9.700000节,335.100000度,单点定位,09,1058,
17年05月10日,09时34分54秒,北纬40.47642度,东经111.4172度,9.100000节,334.800000度,单点定位,09,1058,
17年05月10日,09时34分55秒,北纬40.47645度,东经111.4172度,8.400000节,335.700000度,单点定位,09,1058,
17年05月10日,09时34分56秒,北纬40.47647度,东经111.4172度,9.300000节,337.200000度,单点定位,09,1058,
17年05月10日,09时34分57秒,北纬40.47649度,东经111.4171度,8.800000节,338.400000度,单点定位,09,1058,
17年05月10日,09时34分58秒,北纬40.47651度,东经111.4171度,8.500000节,340.700000度,单点定位,09,1058,
17年05月10日,09时34分59秒,北纬40.47654度,东经111.4171度,10.000000节,343.200000度,单点定位,10,1058,
17年05月10日,09时35分00秒,北纬40.47657度,东经111.4171度,11.900000节,345.100000度,单点定位,10,1058,
17年05月10日,09时35分01秒,北纬40.47660度,东经111.4171度,12.300000节,345.600000度,单点定位,10,1057,
17年05月10日,09时35分02秒,北纬40.47664度,东经111.4171度,12.000000节,346.500000度,单点定位,10,1057,
17年05月10日,09时35分03秒,北纬40.47667度,东经111.4171度,12.900000节,345.500000度,单点定位,10,1057,
17年05月10日,09时35分04秒,北纬40.47670度,东经111.4171度,12.300000节,343.800000度,单点定位,09,1058,
17年05月10日,09时35分05秒,北纬40.47674度,东经111.4170度,12.400000节,342.700000度,单点定位,10,1057,
17年05月10日,09时35分06秒,北纬40.47677度,东经111.4170度,12.100000节,342.100000度,单点定位,09,1057,
17年05月10日,09时35分07秒,北纬40.47680度,东经111.4170度,11.800000节,341.100000度,单点定位,09,1057,
17年05月10日,09时35分08秒,北纬40.47683度,东经111.4170度,11.300000节,340.800000度,单点定位,09,1057,
17年05月10日,09时35分09秒,北纬40.47686度,东经111.4170度,9.500000节,341.000000度,单点定位,09,1057,
17年05月10日,09时35分10秒,北纬40.47688度,东经111.4170度,8.900000节,340.900000度,单点定位,09,1058,
17年05月10日,09时35分11秒,北纬40.47690度,东经111.4170度,9.000000节,341.500000度,单点定位,09,1058,
17年05月10日,09时35分12秒,北纬40.47693度,东经111.4170度,9.400000节,342.100000度,单点定位,09,1057,
17年05月10日,09时35分13秒,北纬40.47695度,东经111.4170度,8.300000节,343.100000度,单点定位,09,1057,
17年05月10日,09时35分14秒,北纬40.47697度,东经111.4170度,6.000000节,342.000000度,单点定位,09,1057,
17年05月10日,09时35分15秒,北纬40.47699度,东经111.4170度,5.300000节,341.700000度,单点定位,09,1057,
17年05月10日,09时35分16秒,北纬40.47700度,东经111.4170度,4.900000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分17秒,北纬40.47701度,东经111.4169度,2.400000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分18秒,北纬40.47702度,东经111.4170度,2.000000节,343.900000度,单点定位,09,1056,
17年05月10日,09时35分19秒,北纬40.47702度,东经111.4170度,2.300000节,343.900000度,单点定位,09,1057,
17年05月10日,09时35分20秒,北纬40.47703度,东经111.4170度,3.100000节,333.900000度,单点定位,09,1057,
17年05月10日,09时35分21秒,北纬40.47704度,东经111.4170度,5.700000节,334.500000度,单点定位,08,1057,
17年05月10日,09时35分22秒,北纬40.47706度,东经111.4170度,9.400000节,335.500000度,单点定位,08,1057,
17年05月10日,09时35分23秒,北纬40.47710度,东经111.4169度,13.100000节,336.100000度,单点定位,08,1057,
17年05月10日,09时35分24秒,北纬40.47713度,东经111.4169度,13.100000节,336.700000度,单点定位,08,1057,
17年05月10日,09时35分25秒,北纬40.47716度,东经111.4169度,9.200000节,339.700000度,单点定位,08,1057,
17年05月10日,09时35分26秒,北纬40.47718度,东经111.4169度,4.500000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分27秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分28秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分29秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分30秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分31秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分32秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分33秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分34秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,08,1057,
17年05月10日,09时35分35秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分36秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分37秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分38秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分39秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分40秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,单点定位,07,1057,
17年05月10日,09时35分41秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分42秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分43秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分44秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分45秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分46秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分47秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分48秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分49秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分50秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分51秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分52秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分53秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,07,1057,
17年05月10日,09时35分54秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分55秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分56秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分57秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分58秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时35分59秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分00秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分01秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分02秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分03秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分04秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分05秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分06秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
