日期,时间,纬度,经度,地面速率,地面航向,GPS状态,使用卫星数量,海拔高度
17年05月10日,09时36分07秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分08秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分09秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分10秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分11秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分12秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分13秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分14秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分15秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分16秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分17秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分18秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分19秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分20秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分21秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分22秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分23秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分24秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分25秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,08,1057,
17年05月10日,09时36分26秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分27秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分28秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分29秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分30秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分31秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分32秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分33秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分34秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分35秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分36秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分37秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分38秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分39秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分40秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分41秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分42秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分43秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分44秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分45秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分46秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分47秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分48秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分49秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分50秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分51秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分52秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分53秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分54秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分55秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分56秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分57秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分58秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分59秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分00秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分01秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分02秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分03秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分04秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时37分05秒,北纬40.47722度,东经111.4169度,3.500000节,343.100000度,码差分,09,1053,
17年05月10日,09时37分06秒,北纬40.47724度,东经111.4169度,7.800000节,342.600000度,码差分,10,1053,
17年05月10日,09时37分07秒,北纬40.47726度,东经111.4168度,11.000000节,339.300000度,码差分,10,1054,
17年05月10日,09时37分08秒,北纬40.47730度,东经111.4168度,13.000000节,340.100000度,码差分,10,1054,
17年05月10日,09时37分09秒,北纬40.47733度,东经111.4168度,14.800000节,339.400000度,码差分,10,1054,
17年05月10日,09时37分10秒,北纬40.47737度,东经111.4168度,15.900000节,338.500000度,码差分,10,1054,
17年05月10日,09时37分11秒,北纬40.47742度,东经111.4168度,16.000000节,337.700000度,码差分,10,1054,
17年05月10日,09时37分12秒,北纬40.47746度,东经111.4167度,16.200000节,338.300000度,码差分,10,1054,
17年05月10日,09时37分13秒,北纬40.47750度,东经111.4167度,17.800000节,338.100000度,码差分,10,1055,
17年05月10日,09时37分14秒,北纬40.47755度,东经111.4167度,18.100000节,338.600000度,码差分,10,1055,
17年05月10日,09时37分15秒,北纬40.47760度,东经111.4167度,19.600000节,338.800000度,码差分,09,1056,
17年05月10日,09时37分16秒,北纬40.47765度,东经111.4166度,20.300000节,338.100000度,码差分,10,1056,
17年05月10日,09时37分17秒,北纬40.47770度,东经111.4166度,20.100000节,338.900000度,码差分,09,1056,
17年05月10日,09时37分18秒,北纬40.47776度,东经111.4166度,20.000000节,340.100000度,码差分,09,1056,
17年05月10日,09时37分19秒,北纬40.47781度,东经111.4166度,20.800000节,341.300000度,码差分,09,1057,
17年05月10日,09时37分20秒,北纬40.47787度,东经111.4165度,21.800000节,342.900000度,码差分,10,1057,
17年05月10日,09时37分21秒,北纬40.47793度,东经111.4165度,22.900000节,344.000000度,码差分,10,1057,
17年05月10日,09时37分22秒,北纬40.47800度,东经111.4165度,23.500000节,343.000000度,码差分,10,1058,
17年05月10日,09时37分23秒,北纬40.47806度,东经111.4165度,23.800000节,343.200000度,码差分,10,1059,
17年05月10日,09时37分24秒,北纬40.47813度,东经111.4164度,23.100000节,343.900000度,码差分,09,1059,
17年05月10日,09时37分25秒,北纬40.47818度,东经111.4164度,20.100000节,345.000000度,码差分,10,1060,
17年05月10日,09时37分26秒,北纬40.47823度,东经111.4164度,15.300000节,346.200000度,码差分,09,1060,
17年05月10日,09时37分27秒,北纬40.47827度,东经111.4164度,12.500000节,346.700000度,码差分,10,1060,
17年05月10日,09时37分28秒,北纬40.47830度,东经111.4164度,10.500000节,345.800000度,码差分,10,1060,
17年05月10日,09时37分29秒,北纬40.47832度,东经111.4164度,8.300000节,344.200000度,码差分,10,1060,
17年05月10日,09时37分30秒,北纬40.47834度,东经111.4164度,6.900000节,342.000000度,码差分,10,1060,
17年05月10日,09时37分31秒,北纬40.47836度,东经111.4163度,6.600000节,339.900000度,码差分,09,1061,
17年05月10日,09时37分32秒,北纬40.47838度,东经111.4163度,8.600000节,337.900000度,码差分,10,1061,
17年05月10日,09时37分33秒,北纬40.47840度,东经111.4163度,11.800000节,337.200000度,码差分,09,1061,
17年05月10日,09时37分34秒,北纬40.47844度,东经111.4163度,14.500000节,337.400000度,码差分,10,1061,
17年05月10日,09时37分35秒,北纬40.47848度,东经111.4163度,15.400000节,338.200000度,码差分,09,1061,
17年05月10日,09时37分36秒,北纬40.47853度,东经111.4163度,17.500000节,339.200000度,码差分,09,1061,
17年05月10日,09时37分37秒,北纬40.47857度,东经111.4162度,18.400000节,339.800000度,码差分,09,1061,
17年05月10日,09时37分38秒,北纬40.47862度,东经111.4162度,18.400000节,340.500000度,码差分,09,1061,
17年05月10日,09时37分39秒,北纬40.47867度,东经111.4162度,19.000000节,341.400000度,码差分,09,1061,
17年05月10日,09时37分40秒,北纬40.47873度,东经111.4162度,18.700000节,342.500000度,码差分,09,1062,
17年05月10日,09时37分41秒,北纬40.47878度,东经111.4161度,18.700000节,343.400000度,码差分,09,1062,
17年05月10日,09时37分42秒,北纬40.47883度,东经111.4161度,19.300000节,343.700000度,码差分,10,1062,
17年05月10日,09时37分43秒,北纬40.47889度,东经111.4161度,19.800000节,343.100000度,码差分,10,1062,
17年05月10日,09时37分44秒,北纬40.47894度,东经111.4161度,19.500000节,341.800000度,码差分,10,1062,
17年05月10日,09时37分45秒,北纬40.47899度,东经111.4161度,19.000000节,340.400000度,码差分,09,1062,
17年05月10日,09时37分46秒,北纬40.47904度,东经111.4160度,18.700000节,339.800000度,码差分,10,1062,
17年05月10日,09时37分47秒,北纬40.47909度,东经111.4160度,19.000000节,339.300000度,码差分,10,1062,
17年05月10日,09时37分48秒,北纬40.47914度,东经111.4160度,17.500000节,339.900000度,码差分,10,1062,
17年05月10日,09时37分49秒,北纬40.47919度,东经111.4160度,16.600000节,340.600000度,码差分,10,1062,
17年05月10日,09时37分50秒,北纬40.47923度,东经111.4159度,15.500000节,340.900000度,码差分,10,1063,
17年05月10日,09时37分51秒,北纬40.47927度,东经111.4159度,14.400000节,340.900000度,码差分,10,1063,
17年05月10日,09时37分52秒,北纬40.47930度,东经111.4159度,13.300000节,340.400000度,码差分,09,1064,
17年05月10日,09时37分53秒,北纬40.47934度,东经111.4159度,12.300000节,339.600000度,码差分,09,1064,
17年05月10日,09时37分54秒,北纬40.47937度,东经111.4159度,11.100000节,339.000000度,码差分,09,1064,
17年05月10日,09时37分55秒,北纬40.47939度,东经111.4159度,9.800000节,338.700000度,码差分,09,1064,
17年05月10日,09时37分56秒,北纬40.47942度,东经111.4158度,9.500000节,338.400000度,码差分,09,1063,
17年05月10日,09时37分57秒,北纬40.47945度,东经111.4158度,10.200000节,344.700000度,码差分,09,1063,
17年05月10日,09时37分58秒,北纬40.47947度,东经111.4158度,10.000000节,344.900000度,码差分,10,1063,
17年05月10日,09时37分59秒,北纬40.47950度,东经111.4158度,8.600000节,347.400000度,码差分,10,1063,
17年05月10日,09时38分00秒,北纬40.47952度,东经111.4158度,7.900000节,354.100000度,码差分,10,1062,
17年05月10日,09时38分01秒,北纬40.47955度,东经111.4158度,8.600000节,353.300000度,码差分,10,1062,
17年05月10日,09时38分02秒,北纬40.47957度,东经111.4158度,9.300000节,352.400000度,码差分,10,1062,
17年05月10日,09时38分03秒,北纬40.47959度,东经111.4158度,8.000000节,351.400000度,码差分,10,1062,
17年05月10日,09时38分04秒,北纬40.47961度,东经111.4158度,6.900000节,350.500000度,码差分,10,1062,
17年05月10日,09时38分05秒,北纬40.47963度,东经111.4158度,4.500000节,349.300000度,码差分,10,1062,
17年05月10日,09时38分06秒,北纬40.47964度,东经111.4158度,3.200000节,345.400000度,码差分,10,1062,
17年05月10日,09时38分07秒,北纬40.47964度,东经111.4158度,2.200000节,345.400000度,码差分,10,1063,
17年05月10日,09时38分08秒,北纬40.47965度,东经111.4158度,0.100000节,345.400000度,码差分,10,1063,
17年05月10日,09时38分09秒,北纬40.47965度,东经111.4158度,0.000000节,345.400000度,码差分,10,1063,
17年05月10日,09时38分10秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,10,1064,
17年05月10日,09时38分11秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,10,1064,
17年05月10日,09时38分12秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分13秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分14秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分15秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分16秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分17秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分18秒,北纬40.47966度,东经111.4158度,0.000000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分19秒,北纬40.47967度,东经111.4158度,1.600000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分20秒,北纬40.47967度,东经111.4157度,2.500000节,345.400000度,码差分,09,1064,
17年05月10日,09时38分21秒,北纬40.47969度,东经111.4157度,2.900000节,337.400000度,码差分,10,1064,
17年05月10日,09时38分22秒,北纬40.47970度,东经111.4157度,2.200000节,340.600000度,码差分,10,1064,
17年05月10日,09时38分23秒,北纬40.47970度,东经111.4157度,0.800000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分24秒,北纬40.47970度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分25秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分26秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分27秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分28秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分29秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分30秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分31秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分32秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分33秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分34秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分35秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分36秒,北纬40.47971度,东经111.4157度,0.000000节,341.400000度,码差分,10,1064,
17年05月10日,09时38分37秒,北纬40.47972度,东经111.4157度,1.200000节,335.600000度,码差分,10,1064,
17年05月10日,09时38分38秒,北纬40.47972度,东经111.4157度,1.600000节,338.400000度,码差分,10,1064,
17年05月10日,09时38分39秒,北纬40.47973度,东经111.4157度,1.400000节,345.100000度,码差分,10,1064,
17年05月10日,09时38分40秒,北纬40.47973度,东经111.4157度,1.500000节,344.400000度,码差分,10,1064,
17年05月10日,09时38分41秒,北纬40.47974度,东经111.4157度,1.700000节,343.800000度,码差分,10,1064,
17年05月10日,09时38分42秒,北纬40.47974度,东经111.4157度,1.500000节,346.000000度,码差分,09,1064,
17年05月10日,09时38分43秒,北纬40.47975度,东经111.4157度,1.000000节,348.300000度,码差分,09,1064,
17年05月10日,09时38分44秒,北纬40.47975度,东经111.4157度,0.700000节,356.500000度,码差分,09,1064,
17年05月10日,09时38分45秒,北纬40.47975度,东经111.4157度,0.400000节,356.500000度,码差分,10,1064,
17年05月10日,09时38分46秒,北纬40.47975度,东经111.4157度,0.400000节,356.500000度,码差分,09,1063,
17年05月10日,09时38分47秒,北纬40.47975度,东经111.4157度,0.500000节,351.000000度,码差分,09,1063,
17年05月10日,09时38分48秒,北纬40.47976度,东经111.4157度,0.700000节,338.000000度,码差分,09,1063,
17年05月10日,09时38分49秒,北纬40.47976度,东经111.4157度,1.000000节,334.600000度,码差分,09,1063,
17年05月10日,09时38分50秒,北纬40.47976度,东经111.4157度,0.600000节,351.200000度,码差分,10,1063,
17年05月10日,09时38分51秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,08,1063,
17年05月10日,09时38分52秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分53秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分54秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分55秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分56秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分57秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分58秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时38分59秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分00秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分01秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分02秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分03秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分04秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分05秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分06秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时39分07秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,09,1063,
17年05月10日,09时39分08秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分09秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分10秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分11秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分12秒,北纬40.47976度,东经111.4157度,0.000000节,351.200000度,码差分,10,1063,
17年05月10日,09时39分13秒,北纬40.47977度,东经111.4157度,2.500000节,323.800000度,码差分,10,1063,
17年05月10日,09时39分14秒,北纬40.47978度,东经111.4157度,6.000000节,324.500000度,码差分,10,1063,
17年05月10日,09时39分15秒,北纬40.47981度,东经111.4157度,8.000000节,325.900000度,码差分,09,1063,
17年05月10日,09时39分16秒,北纬40.47983度,东经111.4157度,9.200000节,326.800000度,码差分,10,1063,
17年05月10日,09时39分17秒,北纬40.47986度,东经111.4157度,11.800000节,328.200000度,码差分,10,1063,
17年05月10日,09时39分18秒,北纬40.47990度,东经111.4157度,12.300000节,329.700000度,码差分,10,1063,
17年05月10日,09时39分19秒,北纬40.47993度,东经111.4156度,11.100000节,331.000000度,码差分,10,1063,
17年05月10日,09时39分20秒,北纬40.47996度,东经111.4156度,10.600000节,332.200000度,码差分,10,1063,
17年05月10日,09时39分21秒,北纬40.47998度,东经111.4156度,8.900000节,333.400000度,码差分,10,1063,
17年05月10日,09时39分22秒,北纬40.48000度,东经111.4156度,6.900000节,334.300000度,码差分,10,1064,
17年05月10日,09时39分23秒,北纬40.48002度,东经111.4156度,7.800000节,335.200000度,码差分,10,1064,
17年05月10日,09时39分24秒,北纬40.48005度,东经111.4156度,9.100000节,336.000000度,码差分,10,1065,
17年05月10日,09时39分25秒,北纬40.48007度,东经111.4156度,9.900000节,336.900000度,码差分,10,1066,
17年05月10日,09时39分26秒,北纬40.48010度,东经111.4155度,10.300000节,337.600000度,码差分,10,1066,
17年05月10日,09时39分27秒,北纬40.48013度,东经111.4155度,12.200000节,339.700000度,码差分,10,1067,
17年05月10日,09时39分28秒,北纬40.48016度,东经111.4155度,13.700000节,340.900000度,码差分,10,1067,
17年05月10日,09时39分29秒,北纬40.48020度,东经111.4155度,14.500000节,341.700000度,码差分,10,1068,
17年05月10日,09时39分30秒,北纬40.48024度,东经111.4155度,14.600000节,342.200000度,码差分,10,1069,
17年05月10日,09时39分31秒,北纬40.48028度,东经111.4155度,14.100000节,342.300000度,码差分,10,1069,
17年05月10日,09时39分31秒,北纬40.48028度,东经111.4155度,14.100000节,342.300000度,码差分,10,1069,
17年05月10日,09时39分32秒,北纬40.48031度,东经111.4154度,12.400000节,341.900000度,码差分,10,1069,
17年05月10日,09时39分33秒,北纬40.48034度,东经111.4154度,9.500000节,341.900000度,码差分,10,1069,
17年05月10日,09时39分34秒,北纬40.48037度,东经111.4154度,7.800000节,341.700000度,码差分,10,1069,
17年05月10日,09时39分35秒,北纬40.48039度,东经111.4154度,8.700000节,342.200000度,码差分,09,1068,
17年05月10日,09时39分36秒,北纬40.48042度,东经111.4154度,10.500000节,342.200000度,码差分,10,1069,
17年05月10日,09时39分37秒,北纬40.48045度,东经111.4154度,10.900000节,341.700000度,码差分,09,1069,
